codigo,alimento,energia_kcal,carbohidratos_g,proteinas_g,grasas_totales_g,fuente
,,382.0,,3.4,34.7,Argenfood - Universidad Nacional de Luján
,,57.0,,1.0,0.1,Argenfood - Universidad Nacional de Luján
,,51.0,,0.5,0.1,Argenfood - Universidad Nacional de Luján
,,75.0,,0.4,0.1,Argenfood - Universidad Nacional de Luján
,,40.0,,2.5,,Argenfood - Universidad Nacional de Luján
,,41.0,,0.8,0.6,Argenfood - Universidad Nacional de Luján
,,75.0,,0.6,0.2,Argenfood - Universidad Nacional de Luján
,,88.0,,1.4,0.4,Argenfood - Universidad Nacional de Luján
,,87.0,,0.8,0.4,Argenfood - Universidad Nacional de Luján
,,73.0,,0.9,0.1,Argenfood - Universidad Nacional de Luján
,,44.0,,0.9,0.6,Argenfood - Universidad Nacional de Luján
,,64.0,,0.3,0.4,Argenfood - Universidad Nacional de Luján
,,26.0,,0.5,,Argenfood - Universidad Nacional de Luján
,,28.0,,0.6,0.2,Argenfood - Universidad Nacional de Luján
,,58.0,,0.3,0.1,Argenfood - Universidad Nacional de Luján
,,69.0,,1.2,0.6,Argenfood - Universidad Nacional de Luján
,,258.0,,1.7,26.4,Argenfood - Universidad Nacional de Luján
,,70.0,,0.7,0.4,Argenfood - Universidad Nacional de Luján
,,299.0,,2.3,0.4,Argenfood - Universidad Nacional de Luján
,,26.0,,0.5,,Argenfood - Universidad Nacional de Luján
,,31.0,,0.5,0.2,Argenfood - Universidad Nacional de Luján
,,900.0,,,100.0,Argenfood - Universidad Nacional de Luján
,,900.0,,,100.0,Argenfood - Universidad Nacional de Luján
,,900.0,,,100.0,Argenfood - Universidad Nacional de Luján
,,900.0,,,100.0,Argenfood - Universidad Nacional de Luján
,,900.0,,,100.0,Argenfood - Universidad Nacional de Luján
,,900.0,,,100.0,Argenfood - Universidad Nacional de Luján
,,900.0,,,100.0,Argenfood - Universidad Nacional de Luján
,,900.0,,,100.0,Argenfood - Universidad Nacional de Luján
,,900.0,,,100.0,Argenfood - Universidad Nacional de Luján
,,900.0,,,100.0,Argenfood - Universidad Nacional de Luján
,,900.0,,,100.0,Argenfood - Universidad Nacional de Luján
,,898.0,,,99.8,Argenfood - Universidad Nacional de Luján
,,899.0,,,99.9,Argenfood - Universidad Nacional de Luján
,,747.0,,,83.0,Argenfood - Universidad Nacional de Luján
,,747.0,,,83.0,Argenfood - Universidad Nacional de Luján
,,504.0,,,56.0,Argenfood - Universidad Nacional de Luján
,,72.0,,15.8,0.9,Argenfood - Universidad Nacional de Luján
,,92.0,,21.5,0.4,Argenfood - Universidad Nacional de Luján
,,129.0,,19.2,5.4,Argenfood - Universidad Nacional de Luján
,,100.0,,20.4,2.0,Argenfood - Universidad Nacional de Luján
,,,,,3.9,Argenfood - Universidad Nacional de Luján
,,219.0,,22.0,14.5,Argenfood - Universidad Nacional de Luján
,,83.0,,17.6,1.2,Argenfood - Universidad Nacional de Luján
,,232.0,,22.0,15.8,Argenfood - Universidad Nacional de Luján
,,170.0,,17.0,11.1,Argenfood - Universidad Nacional de Luján
,,95.0,,18.4,2.3,Argenfood - Universidad Nacional de Luján
,,107.0,,17.2,4.0,Argenfood - Universidad Nacional de Luján
,,86.0,,16.0,2.2,Argenfood - Universidad Nacional de Luján
,,97.0,,19.5,1.9,Argenfood - Universidad Nacional de Luján
,,84.0,,18.8,0.8,Argenfood - Universidad Nacional de Luján
,,,,,2.6,Argenfood - Universidad Nacional de Luján
,,80.0,,18.8,0.5,Argenfood - Universidad Nacional de Luján
,,72.0,,17.4,0.2,Argenfood - Universidad Nacional de Luján
,,149.0,,19.0,8.0,Argenfood - Universidad Nacional de Luján
,,78.0,,17.5,0.8,Argenfood - Universidad Nacional de Luján
,,146.0,,17.9,7.8,Argenfood - Universidad Nacional de Luján
,,81.0,,17.1,1.3,Argenfood - Universidad Nacional de Luján
,,83.0,,17.9,1.0,Argenfood - Universidad Nacional de Luján
,,215.0,,20.1,14.8,Argenfood - Universidad Nacional de Luján
,,113.0,,19.1,3.9,Argenfood - Universidad Nacional de Luján
,,,,,3.4,Argenfood - Universidad Nacional de Luján
,,90.0,,18.2,1.8,Argenfood - Universidad Nacional de Luján
,,77.0,,18.3,0.4,Argenfood - Universidad Nacional de Luján
,,86.0,,18.6,1.2,Argenfood - Universidad Nacional de Luján
,,97.0,,17.8,2.8,Argenfood - Universidad Nacional de Luján
,,84.0,,20.2,0.4,Argenfood - Universidad Nacional de Luján
,,96.0,,20.1,1.7,Argenfood - Universidad Nacional de Luján
,,109.0,,17.1,4.5,Argenfood - Universidad Nacional de Luján
,,136.0,,14.0,8.9,Argenfood - Universidad Nacional de Luján
,,,,,1.7,Argenfood - Universidad Nacional de Luján
,,,,,0.9,Argenfood - Universidad Nacional de Luján
,,110.0,,18.2,4.0,Argenfood - Universidad Nacional de Luján
,,79.0,,18.1,0.6,Argenfood - Universidad Nacional de Luján
,,98.0,,18.9,2.4,Argenfood - Universidad Nacional de Luján
,,80.0,,18.5,0.7,Argenfood - Universidad Nacional de Luján
,,79.0,,18.4,0.6,Argenfood - Universidad Nacional de Luján
,,91.0,,21.0,0.8,Argenfood - Universidad Nacional de Luján
,,66.0,,13.9,1.1,Argenfood - Universidad Nacional de Luján
,,83.0,,18.8,0.8,Argenfood - Universidad Nacional de Luján
,,97.0,,22.0,0.9,Argenfood - Universidad Nacional de Luján
,,64.0,,11.9,1.1,Argenfood - Universidad Nacional de Luján
,,95.0,,17.6,1.6,Argenfood - Universidad Nacional de Luján
,,84.0,,21.1,,Argenfood - Universidad Nacional de Luján
,,202.0,,20.2,11.6,Argenfood - Universidad Nacional de Luján
,,212.0,,26.5,11.8,Argenfood - Universidad Nacional de Luján
,,250.0,,19.9,18.9,Argenfood - Universidad Nacional de Luján
,,320.0,,25.2,24.3,Argenfood - Universidad Nacional de Luján
,,473.0,,18.0,44.6,Argenfood - Universidad Nacional de Luján
,,211.0,,20.3,14.4,Argenfood - Universidad Nacional de Luján
,,670.0,,8.3,70.8,Argenfood - Universidad Nacional de Luján
,,454.0,,13.0,44.2,Argenfood - Universidad Nacional de Luján
,,99.0,,18.7,2.7,Argenfood - Universidad Nacional de Luján
