codigo,alimento,energia_kcal,carbohidratos_g,proteinas_g,grasas_totales_g,fuente,grupo
,,23.0,,1.6,0.4,Argenfood - Universidad Nacional de Luján,ultraprocesados
,,,,1.1,...,Argenfood - Universidad Nacional de Luján,ultraprocesados
,,,,,,Argenfood - Universidad Nacional de Luján,ultraprocesados
,,22.0,,1.0,...,Argenfood - Universidad Nacional de Luján,ultraprocesados
,,13.0,,0.8,...,Argenfood - Universidad Nacional de Luján,ultraprocesados
,,16.0,,1.3,...,Argenfood - Universidad Nacional de Luján,ultraprocesados
,,144.0,,1.5,13.5,Argenfood - Universidad Nacional de Luján,ultraprocesados
,,58.0,,0.4,0.2,Argenfood - Universidad Nacional de Luján,ultraprocesados
,,87.0,,0.4,0.1,Argenfood - Universidad Nacional de Luján,ultraprocesados
,,99.0,,1.2,0.2,Argenfood - Universidad Nacional de Luján,ultraprocesados
,,68.0,,1.1,0.5,Argenfood - Universidad Nacional de Luján,ultraprocesados
,,56.0,,0.7,0.2,Argenfood - Universidad Nacional de Luján,ultraprocesados
,,255.0,,1.9,0.1,Argenfood - Universidad Nacional de Luján,ultraprocesados
,,165.0,,1.0,0.1,Argenfood - Universidad Nacional de Luján,ultraprocesados
,,382.0,,3.4,34.7,Argenfood - Universidad Nacional de Luján,ultraprocesados
,,57.0,,1.0,0.1,Argenfood - Universidad Nacional de Luján,ultraprocesados
,,51.0,,0.5,0.1,Argenfood - Universidad Nacional de Luján,ultraprocesados
,,75.0,,0.4,0.1,Argenfood - Universidad Nacional de Luján,ultraprocesados
,,40.0,,2.5,...,Argenfood - Universidad Nacional de Luján,ultraprocesados
,,41.0,,0.8,0.6,Argenfood - Universidad Nacional de Luján,ultraprocesados
,,75.0,,0.6,0.2,Argenfood - Universidad Nacional de Luján,ultraprocesados
,,88.0,,1.4,0.4,Argenfood - Universidad Nacional de Luján,ultraprocesados
,,87.0,,0.8,0.4,Argenfood - Universidad Nacional de Luján,ultraprocesados
,,73.0,,0.9,0.1,Argenfood - Universidad Nacional de Luján,ultraprocesados
,,44.0,,0.9,0.6,Argenfood - Universidad Nacional de Luján,ultraprocesados
,,64.0,,0.3,0.4,Argenfood - Universidad Nacional de Luján,ultraprocesados
,,26.0,,0.5,...,Argenfood - Universidad Nacional de Luján,ultraprocesados
,,28.0,,0.6,0.2,Argenfood - Universidad Nacional de Luján,ultraprocesados
,,58.0,,0.3,0.1,Argenfood - Universidad Nacional de Luján,ultraprocesados
,,69.0,,1.2,0.6,Argenfood - Universidad Nacional de Luján,ultraprocesados
,,258.0,,1.7,26.4,Argenfood - Universidad Nacional de Luján,ultraprocesados
,,70.0,,0.7,0.4,Argenfood - Universidad Nacional de Luján,ultraprocesados
,,299.0,,2.3,0.4,Argenfood - Universidad Nacional de Luján,ultraprocesados
,,26.0,,0.5,...,Argenfood - Universidad Nacional de Luján,ultraprocesados
,,31.0,,0.5,0.2,Argenfood - Universidad Nacional de Luján,ultraprocesados
,,900.0,,,100,Argenfood - Universidad Nacional de Luján,ultraprocesados
,,900.0,,,100,Argenfood - Universidad Nacional de Luján,ultraprocesados
,,900.0,,,100,Argenfood - Universidad Nacional de Luján,ultraprocesados
,,900.0,,,100,Argenfood - Universidad Nacional de Luján,ultraprocesados
,,900.0,,,100,Argenfood - Universidad Nacional de Luján,ultraprocesados
,,900.0,,,100,Argenfood - Universidad Nacional de Luján,ultraprocesados
,,900.0,,,100,Argenfood - Universidad Nacional de Luján,ultraprocesados
,,900.0,,,100,Argenfood - Universidad Nacional de Luján,ultraprocesados
,,900.0,,,100,Argenfood - Universidad Nacional de Luján,ultraprocesados
,,900.0,,,100,Argenfood - Universidad Nacional de Luján,ultraprocesados
,,900.0,,,100,Argenfood - Universidad Nacional de Luján,ultraprocesados
,,898.0,,,99.8,Argenfood - Universidad Nacional de Luján,ultraprocesados
,,899.0,,,99.9,Argenfood - Universidad Nacional de Luján,ultraprocesados
,,747.0,,,83,Argenfood - Universidad Nacional de Luján,ultraprocesados
,,747.0,,,83,Argenfood - Universidad Nacional de Luján,ultraprocesados
,,504.0,,,56,Argenfood - Universidad Nacional de Luján,ultraprocesados
,,72.0,,15.8,0.9,Argenfood - Universidad Nacional de Luján,ultraprocesados
,,92.0,,21.5,0.4,Argenfood - Universidad Nacional de Luján,ultraprocesados
,,129.0,,19.2,5.4,Argenfood - Universidad Nacional de Luján,ultraprocesados
,,100.0,,20.4,2,Argenfood - Universidad Nacional de Luján,ultraprocesados
,,,,,3.9,Argenfood - Universidad Nacional de Luján,ultraprocesados
,,219.0,,22.0,14.5,Argenfood - Universidad Nacional de Luján,ultraprocesados
,,83.0,,17.6,1.2,Argenfood - Universidad Nacional de Luján,ultraprocesados
,,232.0,,22.0,15.8,Argenfood - Universidad Nacional de Luján,ultraprocesados
,,170.0,,17.0,11.1,Argenfood - Universidad Nacional de Luján,ultraprocesados
,,95.0,,18.4,2.3,Argenfood - Universidad Nacional de Luján,ultraprocesados
,,107.0,,17.2,4,Argenfood - Universidad Nacional de Luján,ultraprocesados
,,86.0,,16.0,2.2,Argenfood - Universidad Nacional de Luján,ultraprocesados
,,97.0,,19.5,1.9,Argenfood - Universidad Nacional de Luján,ultraprocesados
,,84.0,,18.8,0.8,Argenfood - Universidad Nacional de Luján,ultraprocesados
,,,,,2.6,Argenfood - Universidad Nacional de Luján,ultraprocesados
,,80.0,,18.8,0.5,Argenfood - Universidad Nacional de Luján,ultraprocesados
,,72.0,,17.4,0.2,Argenfood - Universidad Nacional de Luján,ultraprocesados
,,149.0,,19.0,8,Argenfood - Universidad Nacional de Luján,ultraprocesados
,,78.0,,17.5,0.8,Argenfood - Universidad Nacional de Luján,ultraprocesados
,,146.0,,17.9,7.8,Argenfood - Universidad Nacional de Luján,ultraprocesados
,,81.0,,17.1,1.3,Argenfood - Universidad Nacional de Luján,ultraprocesados
,,83.0,,17.9,1,Argenfood - Universidad Nacional de Luján,ultraprocesados
,,215.0,,20.1,14.8,Argenfood - Universidad Nacional de Luján,ultraprocesados
,,113.0,,19.1,3.9,Argenfood - Universidad Nacional de Luján,ultraprocesados
,,,,,3.4,Argenfood - Universidad Nacional de Luján,ultraprocesados
,,90.0,,18.2,1.8,Argenfood - Universidad Nacional de Luján,ultraprocesados
,,77.0,,18.3,0.4,Argenfood - Universidad Nacional de Luján,ultraprocesados
,,86.0,,18.6,1.2,Argenfood - Universidad Nacional de Luján,ultraprocesados
,,97.0,,17.8,2.8,Argenfood - Universidad Nacional de Luján,ultraprocesados
,,84.0,,20.2,0.4,Argenfood - Universidad Nacional de Luján,ultraprocesados
,,96.0,,20.1,1.7,Argenfood - Universidad Nacional de Luján,ultraprocesados
,,109.0,,17.1,4.5,Argenfood - Universidad Nacional de Luján,ultraprocesados
,,136.0,,14.0,8.9,Argenfood - Universidad Nacional de Luján,ultraprocesados
,,,,,1.7,Argenfood - Universidad Nacional de Luján,ultraprocesados
,,,,,0.9,Argenfood - Universidad Nacional de Luján,ultraprocesados
,,110.0,,18.2,4,Argenfood - Universidad Nacional de Luján,ultraprocesados
,,79.0,,18.1,0.6,Argenfood - Universidad Nacional de Luján,ultraprocesados
