codigo,alimento,energia_kcal,carbohidratos_g,proteinas_g,grasas_totales_g,fuente,grupo,porcion_g,descripcion,carbohidratos_por_porcion
,,73.0,,0.9,0.1,Argenfood - Universidad Nacional de Luján,ultraprocesados,50,1 porción estándar,
,,44.0,,0.9,0.6,Argenfood - Universidad Nacional de Luján,ultraprocesados,50,1 porción estándar,
,,64.0,,0.3,0.4,Argenfood - Universidad Nacional de Luján,ultraprocesados,50,1 porción estándar,
,,26.0,,0.5,...,Argenfood - Universidad Nacional de Luján,ultraprocesados,50,1 porción estándar,
,,28.0,,0.6,0.2,Argenfood - Universidad Nacional de Luján,ultraprocesados,50,1 porción estándar,
,,58.0,,0.3,0.1,Argenfood - Universidad Nacional de Luján,ultraprocesados,50,1 porción estándar,
,,69.0,,1.2,0.6,Argenfood - Universidad Nacional de Luján,ultraprocesados,50,1 porción estándar,
,,258.0,,1.7,26.4,Argenfood - Universidad Nacional de Luján,ultraprocesados,50,1 porción estándar,
,,70.0,,0.7,0.4,Argenfood - Universidad Nacional de Luján,ultraprocesados,50,1 porción estándar,
,,299.0,,2.3,0.4,Argenfood - Universidad Nacional de Luján,ultraprocesados,50,1 porción estándar,
,,26.0,,0.5,...,Argenfood - Universidad Nacional de Luján,ultraprocesados,50,1 porción estándar,
,,31.0,,0.5,0.2,Argenfood - Universidad Nacional de Luján,ultraprocesados,50,1 porción estándar,
,,900.0,,,100,Argenfood - Universidad Nacional de Luján,ultraprocesados,50,1 porción estándar,
,,900.0,,,100,Argenfood - Universidad Nacional de Luján,ultraprocesados,50,1 porción estándar,
,,900.0,,,100,Argenfood - Universidad Nacional de Luján,ultraprocesados,50,1 porción estándar,
,,900.0,,,100,Argenfood - Universidad Nacional de Luján,ultraprocesados,50,1 porción estándar,
,,900.0,,,100,Argenfood - Universidad Nacional de Luján,ultraprocesados,50,1 porción estándar,
,,900.0,,,100,Argenfood - Universidad Nacional de Luján,ultraprocesados,50,1 porción estándar,
,,900.0,,,100,Argenfood - Universidad Nacional de Luján,ultraprocesados,50,1 porción estándar,
,,900.0,,,100,Argenfood - Universidad Nacional de Luján,ultraprocesados,50,1 porción estándar,
,,900.0,,,100,Argenfood - Universidad Nacional de Luján,ultraprocesados,50,1 porción estándar,
,,900.0,,,100,Argenfood - Universidad Nacional de Luján,ultraprocesados,50,1 porción estándar,
,,900.0,,,100,Argenfood - Universidad Nacional de Luján,ultraprocesados,50,1 porción estándar,
,,898.0,,,99.8,Argenfood - Universidad Nacional de Luján,ultraprocesados,50,1 porción estándar,
,,899.0,,,99.9,Argenfood - Universidad Nacional de Luján,ultraprocesados,50,1 porción estándar,
,,747.0,,,83,Argenfood - Universidad Nacional de Luján,ultraprocesados,50,1 porción estándar,
,,747.0,,,83,Argenfood - Universidad Nacional de Luján,ultraprocesados,50,1 porción estándar,
,,504.0,,,56,Argenfood - Universidad Nacional de Luján,ultraprocesados,50,1 porción estándar,
,,72.0,,15.8,0.9,Argenfood - Universidad Nacional de Luján,ultraprocesados,50,1 porción estándar,
,,92.0,,21.5,0.4,Argenfood - Universidad Nacional de Luján,ultraprocesados,50,1 porción estándar,
,,129.0,,19.2,5.4,Argenfood - Universidad Nacional de Luján,ultraprocesados,50,1 porción estándar,
,,100.0,,20.4,2,Argenfood - Universidad Nacional de Luján,ultraprocesados,50,1 porción estándar,
,,,,,3.9,Argenfood - Universidad Nacional de Luján,ultraprocesados,50,1 porción estándar,
,,219.0,,22.0,14.5,Argenfood - Universidad Nacional de Luján,ultraprocesados,50,1 porción estándar,
,,83.0,,17.6,1.2,Argenfood - Universidad Nacional de Luján,ultraprocesados,50,1 porción estándar,
,,232.0,,22.0,15.8,Argenfood - Universidad Nacional de Luján,ultraprocesados,50,1 porción estándar,
,,170.0,,17.0,11.1,Argenfood - Universidad Nacional de Luján,ultraprocesados,50,1 porción estándar,
,,95.0,,18.4,2.3,Argenfood - Universidad Nacional de Luján,ultraprocesados,50,1 porción estándar,
,,107.0,,17.2,4,Argenfood - Universidad Nacional de Luján,ultraprocesados,50,1 porción estándar,
,,86.0,,16.0,2.2,Argenfood - Universidad Nacional de Luján,ultraprocesados,50,1 porción estándar,
,,97.0,,19.5,1.9,Argenfood - Universidad Nacional de Luján,ultraprocesados,50,1 porción estándar,
,,84.0,,18.8,0.8,Argenfood - Universidad Nacional de Luján,ultraprocesados,50,1 porción estándar,
,,,,,2.6,Argenfood - Universidad Nacional de Luján,ultraprocesados,50,1 porción estándar,
,,80.0,,18.8,0.5,Argenfood - Universidad Nacional de Luján,ultraprocesados,50,1 porción estándar,
,,72.0,,17.4,0.2,Argenfood - Universidad Nacional de Luján,ultraprocesados,50,1 porción estándar,
,,149.0,,19.0,8,Argenfood - Universidad Nacional de Luján,ultraprocesados,50,1 porción estándar,
,,78.0,,17.5,0.8,Argenfood - Universidad Nacional de Luján,ultraprocesados,50,1 porción estándar,
,,146.0,,17.9,7.8,Argenfood - Universidad Nacional de Luján,ultraprocesados,50,1 porción estándar,
,,81.0,,17.1,1.3,Argenfood - Universidad Nacional de Luján,ultraprocesados,50,1 porción estándar,
,,83.0,,17.9,1,Argenfood - Universidad Nacional de Luján,ultraprocesados,50,1 porción estándar,
,,215.0,,20.1,14.8,Argenfood - Universidad Nacional de Luján,ultraprocesados,50,1 porción estándar,
,,113.0,,19.1,3.9,Argenfood - Universidad Nacional de Luján,ultraprocesados,50,1 porción estándar,
,,,,,3.4,Argenfood - Universidad Nacional de Luján,ultraprocesados,50,1 porción estándar,
,,90.0,,18.2,1.8,Argenfood - Universidad Nacional de Luján,ultraprocesados,50,1 porción estándar,
,,77.0,,18.3,0.4,Argenfood - Universidad Nacional de Luján,ultraprocesados,50,1 porción estándar,
,,86.0,,18.6,1.2,Argenfood - Universidad Nacional de Luján,ultraprocesados,50,1 porción estándar,
,,97.0,,17.8,2.8,Argenfood - Universidad Nacional de Luján,ultraprocesados,50,1 porción estándar,
,,84.0,,20.2,0.4,Argenfood - Universidad Nacional de Luján,ultraprocesados,50,1 porción estándar,
,,96.0,,20.1,1.7,Argenfood - Universidad Nacional de Luján,ultraprocesados,50,1 porción estándar,
,,109.0,,17.1,4.5,Argenfood - Universidad Nacional de Luján,ultraprocesados,50,1 porción estándar,
,,136.0,,14.0,8.9,Argenfood - Universidad Nacional de Luján,ultraprocesados,50,1 porción estándar,
,,,,,1.7,Argenfood - Universidad Nacional de Luján,ultraprocesados,50,1 porción estándar,
,,,,,0.9,Argenfood - Universidad Nacional de Luján,ultraprocesados,50,1 porción estándar,
,,110.0,,18.2,4,Argenfood - Universidad Nacional de Luján,ultraprocesados,50,1 porción estándar,
,,79.0,,18.1,0.6,Argenfood - Universidad Nacional de Luján,ultraprocesados,50,1 porción estándar,
,,98.0,,18.9,2.4,Argenfood - Universidad Nacional de Luján,ultraprocesados,50,1 porción estándar,
,,80.0,,18.5,0.7,Argenfood - Universidad Nacional de Luján,ultraprocesados,50,1 porción estándar,
,,79.0,,18.4,0.6,Argenfood - Universidad Nacional de Luján,ultraprocesados,50,1 porción estándar,
,,91.0,,21.0,0.8,Argenfood - Universidad Nacional de Luján,ultraprocesados,50,1 porción estándar,
,,66.0,,13.9,1.1,Argenfood - Universidad Nacional de Luján,ultraprocesados,50,1 porción estándar,
,,83.0,,18.8,0.8,Argenfood - Universidad Nacional de Luján,ultraprocesados,50,1 porción estándar,
,,97.0,,22.0,0.9,Argenfood - Universidad Nacional de Luján,ultraprocesados,50,1 porción estándar,
,,64.0,,11.9,1.1,Argenfood - Universidad Nacional de Luján,ultraprocesados,50,1 porción estándar,
,,95.0,,17.6,1.6,Argenfood - Universidad Nacional de Luján,ultraprocesados,50,1 porción estándar,
,,84.0,,21.1,,Argenfood - Universidad Nacional de Luján,ultraprocesados,50,1 porción estándar,
,,202.0,,20.2,11.6,Argenfood - Universidad Nacional de Luján,ultraprocesados,50,1 porción estándar,
,,212.0,,26.5,11.8,Argenfood - Universidad Nacional de Luján,ultraprocesados,50,1 porción estándar,
,,250.0,,19.9,18.9,Argenfood - Universidad Nacional de Luján,ultraprocesados,50,1 porción estándar,
,,320.0,,25.2,24.3,Argenfood - Universidad Nacional de Luján,ultraprocesados,50,1 porción estándar,
,,473.0,,18.0,44.6,Argenfood - Universidad Nacional de Luján,ultraprocesados,50,1 porción estándar,
,,211.0,,20.3,14.4,Argenfood - Universidad Nacional de Luján,ultraprocesados,50,1 porción estándar,
,,670.0,,8.3,70.8,Argenfood - Universidad Nacional de Luján,ultraprocesados,50,1 porción estándar,
,,454.0,,13.0,44.2,Argenfood - Universidad Nacional de Luján,ultraprocesados,50,1 porción estándar,
,,99.0,,18.7,2.7,Argenfood - Universidad Nacional de Luján,ultraprocesados,50,1 porción estándar,
,,182.0,,28.0,7.8,Argenfood - Universidad Nacional de Luján,ultraprocesados,50,1 porción estándar,
,,88.0,,16.3,2.5,Argenfood - Universidad Nacional de Luján,ultraprocesados,50,1 porción estándar,
,,198.0,,23.1,11.7,Argenfood - Universidad Nacional de Luján,ultraprocesados,50,1 porción estándar,
,,162.0,,28.4,5.4,Argenfood - Universidad Nacional de Luján,ultraprocesados,50,1 porción estándar,
,,168.0,,29.8,5.4,Argenfood - Universidad Nacional de Luján,ultraprocesados,50,1 porción estándar,
,,64.0,,15.5,0.2,Argenfood - Universidad Nacional de Luján,ultraprocesados,50,1 porción estándar,
,,170.0,,18.4,10.7,Argenfood - Universidad Nacional de Luján,ultraprocesados,50,1 porción estándar,
,,189.0,,24.6,10.1,Argenfood - Universidad Nacional de Luján,ultraprocesados,50,1 porción estándar,
,,785.0,,0.5,87,Argenfood - Universidad Nacional de Luján,ultraprocesados,50,1 porción estándar,
,,111.0,,21.0,3,Argenfood - Universidad Nacional de Luján,ultraprocesados,50,1 porción estándar,
,,224.0,,23.7,14.4,Argenfood - Universidad Nacional de Luján,ultraprocesados,50,1 porción estándar,
,,132.0,,19.7,3.2,Argenfood - Universidad Nacional de Luján,ultraprocesados,50,1 porción estándar,
,,33.0,,6.8,0.6,Argenfood - Universidad Nacional de Luján,ultraprocesados,50,1 porción estándar,
,,116.0,,20.0,4,Argenfood - Universidad Nacional de Luján,ultraprocesados,50,1 porción estándar,
,,97.0,,21.2,1.4,Argenfood - Universidad Nacional de Luján,ultraprocesados,50,1 porción estándar,
,,335.0,,14.0,31,Argenfood - Universidad Nacional de Luján,ultraprocesados,50,1 porción estándar,
,,137.0,,15.0,8.1,Argenfood - Universidad Nacional de Luján,ultraprocesados,50,1 porción estándar,
,,139.0,,27.2,3.4,Argenfood - Universidad Nacional de Luján,ultraprocesados,50,1 porción estándar,
,,95.0,,20.0,1.7,Argenfood - Universidad Nacional de Luján,ultraprocesados,50,1 porción estándar,
,,171.0,,23.8,8.4,Argenfood - Universidad Nacional de Luján,ultraprocesados,50,1 porción estándar,
,,258.0,,25.6,17.3,Argenfood - Universidad Nacional de Luján,ultraprocesados,50,1 porción estándar,
,,241.0,,28.1,14.3,Argenfood - Universidad Nacional de Luján,ultraprocesados,50,1 porción estándar,
,,233.0,,36.0,9.9,Argenfood - Universidad Nacional de Luján,ultraprocesados,50,1 porción estándar,
,,120.0,,20.7,2.2,Argenfood - Universidad Nacional de Luján,ultraprocesados,50,1 porción estándar,
,,197.0,,38.6,4.4,Argenfood - Universidad Nacional de Luján,ultraprocesados,50,1 porción estándar,
,,98.0,,19.5,,Argenfood - Universidad Nacional de Luján,ultraprocesados,50,1 porción estándar,
,,207.0,,37.0,6.4,Argenfood - Universidad Nacional de Luján,ultraprocesados,50,1 porción estándar,
,,107.0,,19.0,3.4,Argenfood - Universidad Nacional de Luján,ultraprocesados,50,1 porción estándar,
,,231.0,,41.1,6.8,Argenfood - Universidad Nacional de Luján,ultraprocesados,50,1 porción estándar,
,,105.0,,18.4,2.2,Argenfood - Universidad Nacional de Luján,ultraprocesados,50,1 porción estándar,
,,236.0,,36.5,9.8,Argenfood - Universidad Nacional de Luján,ultraprocesados,50,1 porción estándar,
,,120.0,,21.1,2.5,Argenfood - Universidad Nacional de Luján,ultraprocesados,50,1 porción estándar,
,,177.0,,35.1,3.8,Argenfood - Universidad Nacional de Luján,ultraprocesados,50,1 porción estándar,
,,103.0,,21.0,1.1,Argenfood - Universidad Nacional de Luján,ultraprocesados,50,1 porción estándar,
,,192.0,,35.5,5.2,Argenfood - Universidad Nacional de Luján,ultraprocesados,50,1 porción estándar,
,,106.0,,18.4,2.7,Argenfood - Universidad Nacional de Luján,ultraprocesados,50,1 porción estándar,
,,203.0,,38.4,5,Argenfood - Universidad Nacional de Luján,ultraprocesados,50,1 porción estándar,
,,107.0,,18.4,2.5,Argenfood - Universidad Nacional de Luján,ultraprocesados,50,1 porción estándar,
,,,,,2.5,Argenfood - Universidad Nacional de Luján,ultraprocesados,50,1 porción estándar,
,,,,,2,Argenfood - Universidad Nacional de Luján,ultraprocesados,50,1 porción estándar,
,,,,,3.2,Argenfood - Universidad Nacional de Luján,ultraprocesados,50,1 porción estándar,
,,,,,2.1,Argenfood - Universidad Nacional de Luján,ultraprocesados,50,1 porción estándar,
,,,,,2,Argenfood - Universidad Nacional de Luján,ultraprocesados,50,1 porción estándar,
,,,,,4.5,Argenfood - Universidad Nacional de Luján,ultraprocesados,50,1 porción estándar,
